Date,AQI,PM2.5,Temperature,Humidity,Pressure,VOC,NO2,CO,NH3
2025-06-03T10:50:19.228Z,91,24.21245,28.12745,61.19638,914.63,38.39141,164.1264,1.824144,150.7284
2025-06-03T10:50:49.539Z,96,26.50916,28.14833,60.78993,914.62,36.54684,160.8423,1.840714,147.7123
2025-06-03T10:51:20.554Z,98,27.51648,28.19105,60.64468,914.61,35.50138,158.6714,1.583472,145.7187
2025-06-03T10:51:51.803Z,77,17.10257,28.21637,60.52982,914.63,34.81448,158.6516,1.630053,145.7005
2025-06-03T10:52:22.516Z,51,8.560438,28.24801,60.62697,914.6,34.76543,161.3,1.711484,148.1327
2025-06-03T10:52:52.826Z,47,7.732603,28.27586,60.44659,914.6,34.43914,156.8122,1.88392,144.0112
2025-06-03T10:53:22.933Z,99,27.55677,28.25687,60.4437,914.6,33.95998,156.6318,1.931176,143.8455
2025-06-03T10:53:53.242Z,60,10.89744,28.30149,60.34506,914.59,33.11568,155.8327,1.652577,143.1117
2025-06-03T10:54:58.986Z,98,27.51648,28.35845,60.34713,914.64,32.64585,156.5279,1.727711,143.7501
2025-06-03T10:55:29.502Z,90,23.48718,28.40402,60.51224,914.64,32.78816,155.4737,1.625336,142.782
2025-06-03T10:55:59.705Z,83,19.98169,28.42585,60.59471,914.63,33.14667,155.9209,1.650174,143.1927
2025-06-03T10:56:29.916Z,15,0,28.44927,60.61147,914.66,34.20133,157.7151,1.471413,144.8404
2025-06-03T10:57:00.023Z,64,11.72161,28.50338,60.48121,914.71,34.03355,157.899,1.570291,145.0093
2025-06-03T10:57:30.129Z,73,15.20879,28.53123,60.4393,914.69,34.21573,161.7166,1.672663,148.5152
2025-06-03T10:58:00.435Z,81,19.45787,28.55907,60.35127,914.69,33.45987,156.9023,1.603268,144.094
2025-06-03T10:58:30.744Z,59,10.55311,28.58629,60.11831,914.7,33.16199,158.6847,1.698341,145.7309
2025-06-03T10:59:01.160Z,127,39.88645,28.65812,61.3044,914.66,33.67819,160.1834,1.681708,147.1072
2025-06-03T10:59:31.575Z,52,8.84249,28.77394,60.48292,914.66,33.45995,160.5723,1.522545,147.4644
2025-06-03T11:00:01.882Z,48,7.956044,28.95811,61.42358,914.61,33.73791,159.0385,1.607492,146.0558
2025-06-03T11:00:32.120Z,33,4.208793,28.95336,59.31304,914.57,33.49781,154.6503,1.494389,142.0258
2025-06-03T11:01:02.607Z,67,12.63004,28.85875,59.75179,914.56,34.25894,158.801,1.572234,145.8376
2025-06-03T11:04:08.256Z,75,16.15384,29.51284,57.76262,914.52,32.30931,156.7732,1.760099,143.9754
2025-06-03T11:04:38.565Z,29,3.443224,29.55303,57.51471,914.49,32.14668,158.31,1.790886,145.3868
2025-06-03T11:05:08.974Z,36,4.934065,29.49101,57.52505,914.51,31.66629,157.6536,1.66811,144.7839
2025-06-03T11:05:39.100Z,38,5.457876,29.38784,57.59439,914.52,31.53134,157.0282,1.847741,144.2095
2025-06-03T11:06:09.210Z,52,8.78022,29.22551,57.98063,914.5,31.8666,160.5677,2.198122,147.4601
2025-06-03T11:06:39.403Z,77,17.5641,29.1907,58.04065,914.51,32.00718,160.3733,2.096891,147.2816
2025-06-03T11:08:25.586Z,31,3.765566,28.97393,58.7659,914.48,33.19277,166.2029,1.92059,152.6353
2025-06-03T11:08:55.995Z,67,12.60806,28.9771,58.72059,914.46,32.61399,164.805,1.971584,151.3515
2025-06-03T11:09:40.536Z,49,8.135532,28.93153,59.41472,914.49,33.51731,163.3052,1.69949,149.9741
